fname,liveness_score,img_name,path
5.mp4,0,5_10_1.png,new_data/train/image/5_10_1.png
5.mp4,0,5_10_2.png,new_data/train/image/5_10_2.png
5.mp4,0,5_11_1.png,new_data/train/image/5_11_1.png
5.mp4,0,5_11_2.png,new_data/train/image/5_11_2.png
5.mp4,0,5_12_1.png,new_data/train/image/5_12_1.png
5.mp4,0,5_12_2.png,new_data/train/image/5_12_2.png
5.mp4,0,5_13_1.png,new_data/train/image/5_13_1.png
5.mp4,0,5_13_2.png,new_data/train/image/5_13_2.png
5.mp4,0,5_14_1.png,new_data/train/image/5_14_1.png
5.mp4,0,5_14_2.png,new_data/train/image/5_14_2.png
5.mp4,0,5_15_1.png,new_data/train/image/5_15_1.png
5.mp4,0,5_15_2.png,new_data/train/image/5_15_2.png
5.mp4,0,5_16_1.png,new_data/train/image/5_16_1.png
5.mp4,0,5_16_2.png,new_data/train/image/5_16_2.png
5.mp4,0,5_17_1.png,new_data/train/image/5_17_1.png
5.mp4,0,5_17_2.png,new_data/train/image/5_17_2.png
5.mp4,0,5_18_1.png,new_data/train/image/5_18_1.png
5.mp4,0,5_18_2.png,new_data/train/image/5_18_2.png
5.mp4,0,5_19_1.png,new_data/train/image/5_19_1.png
5.mp4,0,5_19_2.png,new_data/train/image/5_19_2.png
5.mp4,0,5_1_1.png,new_data/train/image/5_1_1.png
5.mp4,0,5_1_2.png,new_data/train/image/5_1_2.png
5.mp4,0,5_20_1.png,new_data/train/image/5_20_1.png
5.mp4,0,5_20_2.png,new_data/train/image/5_20_2.png
5.mp4,0,5_21_1.png,new_data/train/image/5_21_1.png
5.mp4,0,5_21_2.png,new_data/train/image/5_21_2.png
5.mp4,0,5_22_1.png,new_data/train/image/5_22_1.png
5.mp4,0,5_22_2.png,new_data/train/image/5_22_2.png
5.mp4,0,5_23_1.png,new_data/train/image/5_23_1.png
5.mp4,0,5_23_2.png,new_data/train/image/5_23_2.png
5.mp4,0,5_24_1.png,new_data/train/image/5_24_1.png
5.mp4,0,5_24_2.png,new_data/train/image/5_24_2.png
5.mp4,0,5_25_1.png,new_data/train/image/5_25_1.png
5.mp4,0,5_25_2.png,new_data/train/image/5_25_2.png
5.mp4,0,5_26_1.png,new_data/train/image/5_26_1.png
5.mp4,0,5_26_2.png,new_data/train/image/5_26_2.png
5.mp4,0,5_27_1.png,new_data/train/image/5_27_1.png
5.mp4,0,5_27_2.png,new_data/train/image/5_27_2.png
5.mp4,0,5_28_1.png,new_data/train/image/5_28_1.png
5.mp4,0,5_28_2.png,new_data/train/image/5_28_2.png
5.mp4,0,5_29_1.png,new_data/train/image/5_29_1.png
5.mp4,0,5_29_2.png,new_data/train/image/5_29_2.png
5.mp4,0,5_2_1.png,new_data/train/image/5_2_1.png
5.mp4,0,5_2_2.png,new_data/train/image/5_2_2.png
5.mp4,0,5_30_1.png,new_data/train/image/5_30_1.png
5.mp4,0,5_30_2.png,new_data/train/image/5_30_2.png
5.mp4,0,5_31_1.png,new_data/train/image/5_31_1.png
5.mp4,0,5_31_2.png,new_data/train/image/5_31_2.png
5.mp4,0,5_32_1.png,new_data/train/image/5_32_1.png
5.mp4,0,5_32_2.png,new_data/train/image/5_32_2.png
5.mp4,0,5_33_1.png,new_data/train/image/5_33_1.png
5.mp4,0,5_33_2.png,new_data/train/image/5_33_2.png
5.mp4,0,5_34_1.png,new_data/train/image/5_34_1.png
5.mp4,0,5_34_2.png,new_data/train/image/5_34_2.png
5.mp4,0,5_35_1.png,new_data/train/image/5_35_1.png
5.mp4,0,5_35_2.png,new_data/train/image/5_35_2.png
5.mp4,0,5_36_1.png,new_data/train/image/5_36_1.png
5.mp4,0,5_36_2.png,new_data/train/image/5_36_2.png
5.mp4,0,5_37_1.png,new_data/train/image/5_37_1.png
5.mp4,0,5_37_2.png,new_data/train/image/5_37_2.png
5.mp4,0,5_38_1.png,new_data/train/image/5_38_1.png
5.mp4,0,5_38_2.png,new_data/train/image/5_38_2.png
5.mp4,0,5_39_1.png,new_data/train/image/5_39_1.png
5.mp4,0,5_39_2.png,new_data/train/image/5_39_2.png
5.mp4,0,5_3_1.png,new_data/train/image/5_3_1.png
5.mp4,0,5_3_2.png,new_data/train/image/5_3_2.png
5.mp4,0,5_40_1.png,new_data/train/image/5_40_1.png
5.mp4,0,5_40_2.png,new_data/train/image/5_40_2.png
5.mp4,0,5_41_1.png,new_data/train/image/5_41_1.png
5.mp4,0,5_41_2.png,new_data/train/image/5_41_2.png
5.mp4,0,5_4_1.png,new_data/train/image/5_4_1.png
5.mp4,0,5_4_2.png,new_data/train/image/5_4_2.png
5.mp4,0,5_5_1.png,new_data/train/image/5_5_1.png
5.mp4,0,5_5_2.png,new_data/train/image/5_5_2.png
